(* --------------------------------------------------------- *)
(*  Variant 23 *)
(* --------------------------------------------------------- *)
(*  linear dependence (y = ax + b) *)
(*  linear regression coefficients: *)
(*  a = 1.794, b = 0.760 *)
(* --------------------------------------------------------- *)
(*  File format: *)
(*     [X(<point number>) = <value x>] *** [Y(<point number>) = <value у>] *)
(* --------------------------------------------------------- *)
(*  --== sudden comment ==-- *)
[X(24) = -5.15153687644957] *** [Y(24) = -12.79929430462666]
[X(25) = -7.203915304882737] *** [Y(25) = -12.470338735882018]
[X(26) = -5.352372360935486] *** [Y(26) = -10.572482751169412]
[X(27) = -4.2456562208318385] *** [Y(27) = -13.226946962706558]
[X(28) = -7.607929070775386] *** [Y(28) = -12.333630968514353]
[X(29) = -7.222240403864115] *** [Y(29) = -10.946739359798164]
(*  --== sudden comment ==-- *)
[X(30) = -5.030394069688335] *** [Y(30) = -11.35558556287478]
[X(31) = -3.5341747309740827] *** [Y(31) = -9.471141006618282]
[X(32) = -7.282648006980394] *** [Y(32) = -12.494101755140893]
[X(33) = -4.339147024260674] *** [Y(33) = -11.88814556768888]
[X(34) = -6.910767841844242] *** [Y(34) = -9.688668316807227]
[X(35) = -3.619436388825493] *** [Y(35) = -12.454087392384054]
[X(36) = -3.644087393781895] *** [Y(36) = -8.145767101022006]
[X(37) = -3.089585950336615] *** [Y(37) = -9.455495926822156]
[X(38) = -7.6331857543484745] *** [Y(38) = -6.59002382709523]
[X(39) = -7.510007553954052] *** [Y(39) = -7.8160183082460035]
[X(40) = -0.4361916477378842] *** [Y(40) = -9.071990967973102]
[X(41) = -5.463230228828456] *** [Y(41) = -8.42907874856477]
[X(42) = -5.957604376442969] *** [Y(42) = -8.963612152297484]
[X(43) = -7.562159553608101] *** [Y(43) = -9.053472864651592]
[X(44) = -1.7944711871890653] *** [Y(44) = -8.10900400079738]
[X(45) = -1.6578645483129582] *** [Y(45) = -6.516758056377494]
(*  --== sudden comment ==-- *)
[X(46) = -3.155217555988285] *** [Y(46) = -4.592447561499373]
[X(47) = -2.8006928158623667] *** [Y(47) = -5.281090577145588]
[X(48) = -4.331115402996516] *** [Y(48) = -6.808726280837443]
[X(49) = -4.8755459079826] *** [Y(49) = -7.475043830949065]
(*  --== sudden comment ==-- *)
[X(50) = -5.255566116011917] *** [Y(50) = -5.459779817224657]
(*  --== sudden comment ==-- *)
[X(51) = -1.5141386124338907] *** [Y(51) = -7.18237250742096]
[X(52) = -3.8456005862434797] *** [Y(52) = -3.9838536479525546]
[X(53) = -1.6951196616446893] *** [Y(53) = -5.848730556668034]
[X(54) = -4.207216768604351] *** [Y(54) = -4.591558143508243]
[X(55) = -2.2443767373553314] *** [Y(55) = -5.474998162548172]
(*  --== sudden comment ==-- *)
[X(56) = -1.5457984363639303] *** [Y(56) = -5.419924365139081]
[X(57) = -1.7159376511246331] *** [Y(57) = -6.753124542956321]
[X(58) = -2.448234949724485] *** [Y(58) = -3.5493636018643353]
[X(59) = -1.5544838534141414] *** [Y(59) = -8.045809367298721]
[X(60) = -0.04919437811580929] *** [Y(60) = -3.392134070886959]
[X(61) = -3.563910629695405] *** [Y(61) = -3.97806779690176]
[X(62) = -2.2412690802821977] *** [Y(62) = -2.5531750954930663]
[X(63) = -0.38894892449471374] *** [Y(63) = -2.800292190292777]
[X(64) = -0.4489939274752457] *** [Y(64) = -4.393253469542423]
[X(65) = -6.712864256887999] *** [Y(65) = -5.1728094126401]
[X(66) = -3.2323906627555195] *** [Y(66) = -4.81623491879138]
(*  --== sudden comment ==-- *)
[X(67) = -2.35185470761653] *** [Y(67) = -2.9685171537038064]
[X(68) = -5.074177518133604] *** [Y(68) = -2.616244668923676]
[X(69) = -1.454940466095387] *** [Y(69) = -3.6055408252474526]
[X(70) = -0.301121871119328] *** [Y(70) = -2.0229492841766192]
[X(71) = -0.9087782835129742] *** [Y(71) = -5.4777855170550165]
[X(72) = -0.33621257484885303] *** [Y(72) = -2.7309787803706254]
[X(73) = -2.342429192651986] *** [Y(73) = -0.7093025830573192]
[X(74) = -1.457525058815048] *** [Y(74) = -1.5475426829530936]
[X(75) = -0.37265366626928165] *** [Y(75) = -1.094669082817188]
[X(76) = -0.4733744433399396] *** [Y(76) = -0.6577985141828964]
[X(77) = -2.693550749094939] *** [Y(77) = -1.7493055540097495]
[X(78) = -1.725802718625146] *** [Y(78) = -1.6254861822670703]
[X(79) = 0.32232121747516373] *** [Y(79) = 1.5121494500344168]
[X(80) = 1.115926648354149] *** [Y(80) = -3.0095793572137364]
[X(81) = 0.3707880314870682] *** [Y(81) = 1.202450373389977]
[X(82) = 1.6177126643786472] *** [Y(82) = -1.6408476243875898]
[X(83) = 0.5403498477001918] *** [Y(83) = 4.38349285252118]
[X(84) = 0.5375982943893117] *** [Y(84) = 0.5803191438472033]
[X(85) = -1.2533694214679907] *** [Y(85) = 1.5569913160043918]
[X(86) = -2.27085364318264] *** [Y(86) = 2.674179135782742]
[X(87) = 1.4405547251242028] *** [Y(87) = -0.9756232137468102]
[X(88) = 1.6003571496403781] *** [Y(88) = -3.8806844802167424]
[X(89) = -1.7286857267280635] *** [Y(89) = 0.31900019833453996]
[X(90) = -0.7102002873312783] *** [Y(90) = 2.680070910297066]
[X(91) = 0.2546361264153612] *** [Y(91) = 3.4355160652426346]
[X(92) = 0.1355504186716711] *** [Y(92) = -0.5696913105267318]
(*  --== sudden comment ==-- *)
[X(93) = 2.591014016206328] *** [Y(93) = 3.744370805449614]
[X(94) = -1.0307201702967363] *** [Y(94) = 2.6953052578698284]
[X(95) = 2.684506406193976] *** [Y(95) = 1.4662380089640716]
[X(96) = 2.2128271564305413] *** [Y(96) = 4.447015251304033]
[X(97) = 3.5539454174025136] *** [Y(97) = 5.35925675847956]
[X(98) = 1.0921956441145948] *** [Y(98) = 4.771740797801664]
[X(99) = 2.058219757098239] *** [Y(99) = 4.831238875097327]
[X(100) = -1.5628467652315234] *** [Y(100) = 5.34832030958972]
[X(101) = 1.0424057462908287] *** [Y(101) = 6.806853865013272]
[X(102) = -1.1214052440898223] *** [Y(102) = 2.5984689133183294]
[X(103) = 0.18809509682158332] *** [Y(103) = 5.092861283406266]
[X(104) = 5.08110684143816] *** [Y(104) = 2.003500989894681]
[X(105) = 1.15745706379229] *** [Y(105) = 2.120492070870493]
[X(106) = 2.562247208012918] *** [Y(106) = 5.046069167234651]
[X(107) = 1.535357882349699] *** [Y(107) = 2.476401302854459]
[X(108) = 1.7567644819189283] *** [Y(108) = 2.806574719306427]
[X(109) = 3.7055604978555836] *** [Y(109) = 6.886705375340934]
[X(110) = 0.7419309889373888] *** [Y(110) = 6.911686242245432]
[X(111) = 1.1747684848513769] *** [Y(111) = 4.278059594488778]
[X(112) = 2.09584633165912] *** [Y(112) = 7.8357301593360775]
[X(113) = 0.9405472986864662] *** [Y(113) = 3.9085250905356146]
[X(114) = 4.012836527381724] *** [Y(114) = 4.540061626677084]
[X(115) = 1.9004344272411582] *** [Y(115) = 7.826446311827974]
[X(116) = 2.765399926468815] *** [Y(116) = 5.75098579144598]
[X(117) = 2.631548768124771] *** [Y(117) = 4.449155153868072]
[X(118) = -0.2184033851867886] *** [Y(118) = 4.517146219482443]
[X(119) = 3.390985726856391] *** [Y(119) = 5.754998864465438]
[X(120) = 1.1317708076806627] *** [Y(120) = 4.682915992247392]
[X(121) = 2.310935051630322] *** [Y(121) = 5.83321611910187]
[X(122) = 2.3647935782234413] *** [Y(122) = 8.474510260546026]
[X(123) = 4.4870800780002] *** [Y(123) = 6.409711146071874]
[X(124) = 4.858855789556051] *** [Y(124) = 9.763007603807267]
[X(125) = 1.5146515141862653] *** [Y(125) = 8.255194350413056]
[X(126) = 3.0965081203513907] *** [Y(126) = 6.027899352802226]
[X(127) = 8.208646945260075] *** [Y(127) = 7.159156736030301]
[X(128) = 4.21029731813472] *** [Y(128) = 9.052331921880496]
[X(129) = 3.396243668434645] *** [Y(129) = 7.926180292814882]
[X(130) = 3.918057062716057] *** [Y(130) = 9.936556573214885]
[X(131) = 3.6243484031732134] *** [Y(131) = 8.013726783944254]
[X(132) = 2.918841002253717] *** [Y(132) = 6.919095057904761]
[X(133) = 5.879826210548812] *** [Y(133) = 7.700485657742156]
[X(134) = 5.31878203973159] *** [Y(134) = 9.92291320954203]
[X(135) = 7.245962966588218] *** [Y(135) = 11.134306469614351]
[X(136) = 5.861048252859016] *** [Y(136) = 10.51447001466128]
[X(137) = 4.285157151908664] *** [Y(137) = 9.822326909501225]
[X(138) = 5.160074524802387] *** [Y(138) = 7.563911149060047]
[X(139) = 7.212182219479306] *** [Y(139) = 10.784342445293488]
[X(140) = 4.36904722265997] *** [Y(140) = 9.767454877846543]
[X(141) = 6.251361604457535] *** [Y(141) = 10.293036014347614]
[X(142) = 8.831689046025215] *** [Y(142) = 12.343520265238226]
[X(143) = 5.747134097331402] *** [Y(143) = 11.645579314978672]
[X(144) = 5.598087596664894] *** [Y(144) = 12.601498811163978]
[X(145) = 4.548384865692882] *** [Y(145) = 12.292766300808609]
[X(146) = 5.042296496149451] *** [Y(146) = 10.403342425037794]
[X(147) = 5.734093342324309] *** [Y(147) = 13.014859956455314]
[X(148) = 5.973191419585268] *** [Y(148) = 10.513370342716216]
[X(149) = 5.766762147257628] *** [Y(149) = 13.630879633986382]
[X(150) = 6.9261275253439845] *** [Y(150) = 10.227058337528243]
(*  --== sudden comment ==-- *)
[X(151) = 3.300303992901134] *** [Y(151) = 11.42008235194535]
[X(152) = 6.4151718528285775] *** [Y(152) = 11.950997152128048]
[X(153) = 5.560809079972314] *** [Y(153) = 10.216299254343246]
[X(154) = 6.692147668038378] *** [Y(154) = 13.466844371397693]
[X(155) = 2.92772358759211] *** [Y(155) = 12.232163639453875]
[X(156) = 4.9575994516561925] *** [Y(156) = 16.31266650991548]
[X(157) = 6.40599136100629] *** [Y(157) = 15.724407056964878]
(*  --== sudden comment ==-- *)
[X(158) = 5.397181979233843] *** [Y(158) = 9.837856123392662]
[X(159) = 8.578651074160483] *** [Y(159) = 12.092703668339768]
[X(160) = 6.6282199944691] *** [Y(160) = 15.013766311003334]
[X(161) = 5.995047393623139] *** [Y(161) = 16.08764995340697]
[X(162) = 7.176720392522336] *** [Y(162) = 15.55324151280407]
[X(163) = 4.784420901299203] *** [Y(163) = 15.015781415904465]
[X(164) = 5.151993334612691] *** [Y(164) = 16.711119194481334]
[X(165) = 8.040099257655402] *** [Y(165) = 12.495120108379965]
[X(166) = 4.907081680685353] *** [Y(166) = 14.24429552303094]
[X(167) = 8.164617697546538] *** [Y(167) = 14.543197354629381]
[X(168) = 9.693620014240242] *** [Y(168) = 14.920151715710901]
[X(169) = 8.345742536066844] *** [Y(169) = 15.732777558798421]
[X(170) = 11.726148354680646] *** [Y(170) = 17.442854358891495]
(*  --== sudden comment ==-- *)
[X(171) = 8.96996015440746] *** [Y(171) = 17.54171411149639]
[X(172) = 11.90656035987387] *** [Y(172) = 14.638040408881738]
[X(173) = 6.950454521471136] *** [Y(173) = 15.01278397866078]
[X(174) = 6.528207016919382] *** [Y(174) = 19.482285111506535]
[X(175) = 11.320732599845048] *** [Y(175) = 14.31480940924521]
[X(176) = 8.63826080711691] *** [Y(176) = 15.330560401084204]
[X(177) = 10.424780074366925] *** [Y(177) = 15.353947140945792]
[X(178) = 9.231609316983244] *** [Y(178) = 17.225313749715895]
(*  --== sudden comment ==-- *)
[X(179) = 9.025256712741388] *** [Y(179) = 16.282796964933404]
[X(180) = 7.159587490687016] *** [Y(180) = 13.607045354558199]
[X(181) = 9.486181060818762] *** [Y(181) = 18.903683883463078]
[X(182) = 8.126667379749442] *** [Y(182) = 19.366163074105827]
[X(183) = 11.329788607895201] *** [Y(183) = 17.104511070406847]
[X(184) = 9.332315077333972] *** [Y(184) = 18.130332276349886]
[X(185) = 9.532290967794783] *** [Y(185) = 21.273306159952863]
[X(186) = 12.294308705718135] *** [Y(186) = 19.146739150915995]
[X(187) = 8.485254921406586] *** [Y(187) = 17.71970248730094]
[X(188) = 13.984595829420833] *** [Y(188) = 20.640341262627242]
(*  --== sudden comment ==-- *)
[X(189) = 10.06298997484951] *** [Y(189) = 19.156947234936975]
[X(190) = 12.748265546582514] *** [Y(190) = 19.682900542370636]
[X(191) = 11.909997366464538] *** [Y(191) = 20.92604696890499]
[X(192) = 8.946727911052443] *** [Y(192) = 22.599501835748736]
[X(193) = 9.926748162498171] *** [Y(193) = 19.85203060776545]
[X(194) = 8.57461490789517] *** [Y(194) = 19.970717291672777]
[X(195) = 12.317711571242356] *** [Y(195) = 23.352055129099696]
[X(196) = 11.685859355664235] *** [Y(196) = 18.190396555171397]
[X(197) = 9.201582980652008] *** [Y(197) = 22.134641190671772]
[X(198) = 7.471922011651486] *** [Y(198) = 20.48340755302921]
[X(199) = 9.878372372862199] *** [Y(199) = 22.157451604299307]
(*  --== sudden comment ==-- *)
[X(200) = 9.615488600375501] *** [Y(200) = 21.311408815320608]
[X(201) = 12.727056473680719] *** [Y(201) = 21.83167821007292]
[X(202) = 9.242590663540167] *** [Y(202) = 24.272248269468143]
[X(203) = 12.07341968247082] *** [Y(203) = 20.58984188864627]
[X(204) = 11.001258316058394] *** [Y(204) = 22.94218321790009]
[X(205) = 12.032460869964869] *** [Y(205) = 23.764562150382265]
[X(206) = 10.086627614852762] *** [Y(206) = 22.698143304300828]
[X(207) = 11.803240623642353] *** [Y(207) = 24.450571100529743]
[X(208) = 10.09810506322611] *** [Y(208) = 22.956700042039525]
[X(209) = 11.268597656929114] *** [Y(209) = 20.472529485649794]
[X(210) = 12.460543857950235] *** [Y(210) = 24.769659960752566]
[X(211) = 10.293218317335867] *** [Y(211) = 22.763062457472117]
(*  --== sudden comment ==-- *)
[X(212) = 11.033683658368927] *** [Y(212) = 22.772489941746468]
